127.0.0.1, 2015-03-31 15:20:40, GET, /tpop/static/images/facebook.png, HTTP/1.1, 200, 0.043138
127.0.0.1, 2015-03-31 15:20:45, GET, /tpop/fun/count, HTTP/1.1, 200, 2.080712
127.0.0.1, 2015-03-31 15:20:45, GET, /tpop/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.014409
127.0.0.1, 2015-03-31 15:20:45, GET, /tpop/static/js/calendar.js, HTTP/1.1, 304, 0.024452
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/js/jquery.js, HTTP/1.1, 304, 0.022615
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/css/web2py.css, HTTP/1.1, 304, 0.065514
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.014654
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.065661
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/css/calendar.css, HTTP/1.1, 304, 0.063664
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/js/web2py.js, HTTP/1.1, 304, 0.053712
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.033384
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.046560
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/js/share.js, HTTP/1.1, 304, 0.012684
127.0.0.1, 2015-03-31 15:20:46, GET, /tpop/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.020762
127.0.0.1, 2015-03-31 15:20:48, GET, /tpop/static/images/twitter.png, HTTP/1.1, 304, 0.033587
127.0.0.1, 2015-03-31 15:20:48, GET, /tpop/static/images/gplus-32.png, HTTP/1.1, 304, 0.038876
127.0.0.1, 2015-03-31 15:20:48, GET, /tpop/static/images/facebook.png, HTTP/1.1, 304, 0.021124
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/fun/count, HTTP/1.1, 200, 2.074944
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.016485
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/web2py.js, HTTP/1.1, 304, 0.009974
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/calendar.js, HTTP/1.1, 304, 0.037515
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/jquery.js, HTTP/1.1, 304, 0.055555
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/css/calendar.css, HTTP/1.1, 304, 0.050990
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.015977
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/css/web2py.css, HTTP/1.1, 304, 0.033557
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.048579
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.062472
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.029451
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/share.js, HTTP/1.1, 304, 0.043835
127.0.0.1, 2015-03-31 15:20:53, GET, /tpop/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.036621
127.0.0.1, 2015-03-31 15:20:55, GET, /tpop/static/images/facebook.png, HTTP/1.1, 304, 0.019673
127.0.0.1, 2015-03-31 15:20:55, GET, /tpop/static/images/twitter.png, HTTP/1.1, 304, 0.031210
127.0.0.1, 2015-03-31 15:20:55, GET, /tpop/static/images/gplus-32.png, HTTP/1.1, 304, 0.015439
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/fun/count, HTTP/1.1, 200, 2.924529
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.021715
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/jquery.js, HTTP/1.1, 304, 0.055915
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/css/web2py.css, HTTP/1.1, 304, 0.026330
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/calendar.js, HTTP/1.1, 304, 0.026626
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.009841
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/web2py.js, HTTP/1.1, 304, 0.052177
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/css/calendar.css, HTTP/1.1, 304, 0.075525
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.012198
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.043400
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/share.js, HTTP/1.1, 304, 0.026940
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.045151
127.0.0.1, 2015-03-31 15:22:54, GET, /tpop/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.028749
127.0.0.1, 2015-03-31 15:22:57, GET, /tpop/static/images/twitter.png, HTTP/1.1, 304, 0.020856
127.0.0.1, 2015-03-31 15:22:57, GET, /tpop/static/images/facebook.png, HTTP/1.1, 304, 0.027710
